HP CHAL,Baseline (V.s),APeak (V.s),Period (s),TimeDate,BPM,<300 BPM,true bpm,BPM CALC,TIDAL VOL,TIDAL VOL CALC,MINUTE VENT
1,-0.003527,0.008043, ,1:08:27 AM,,,,,,,
2,-1.85E-03,0.008516,0.559,1:08:27 AM,107.3345259,0,107.3345259,,1.04E-02,,1.11E+00
3,-2.90E-03,0.007501,0.502,1:08:28 AM,119.5219124,0,119.5219124,,1.04E-02,,1.24E+00
4,-3.75E-03,0.007402,0.502,1:08:28 AM,119.5219124,0,119.5219124,,1.12E-02,,1.33E+00
5,-3.26E-03,0.005971,0.635,1:08:29 AM,94.48818898,0,94.48818898,,9.23E-03,,8.72E-01
6,-3.60E-03,0.004331,0.6,1:08:29 AM,100,0,100,,7.93E-03,,7.93E-01
7,-3.62E-03,0.004647,0.58,1:08:30 AM,103.4482759,0,103.4482759,,8.27E-03,,8.55E-01
8,-3.44E-03,0.005479,0.682,1:08:31 AM,87.97653959,0,87.97653959,,8.92E-03,,7.85E-01
9,-2.85E-03,0.006015,0.535,1:08:31 AM,112.1495327,0,112.1495327,,8.87E-03,,9.94E-01
10,-1.84E-03,0.006875,0.544,1:08:32 AM,110.2941176,0,110.2941176,,8.72E-03,,9.61E-01
11,-2.85E-03,0.005884,0.538,1:08:32 AM,111.5241636,0,111.5241636,,8.74E-03,,9.74E-01
12,-2.89E-03,0.004647,0.591,1:08:33 AM,101.5228426,0,101.5228426,,7.54E-03,,7.65E-01
13,-4.12E-03,0.0006579,0.601,1:08:34 AM,99.83361065,0,99.83361065,,4.78E-03,,4.77E-01
14,-3.24E-03,0.004024,0.791,1:08:34 AM,75.85335019,0,75.85335019,,7.26E-03,,5.51E-01
15,-3.37E-03,0.006087,0.451,1:08:35 AM,133.037694,0,133.037694,,9.45E-03,,1.26E+00
16,-2.16E-03,0.006053,0.459,1:08:35 AM,130.7189542,0,130.7189542,,8.21E-03,,1.07E+00
17,-1.70E-03,0.005585,0.759,1:08:36 AM,79.0513834,0,79.0513834,,7.29E-03,,5.76E-01
18,-7.19E-04,0.00554,0.317,1:08:36 AM,189.2744479,0,189.2744479,,6.26E-03,,1.18E+00
19,-3.46E-03,0.005398,0.821,1:08:37 AM,73.0816078,0,73.0816078,,8.86E-03,,6.47E-01
20,-3.41E-03,0.005056,0.463,1:08:38 AM,129.5896328,0,129.5896328,,8.47E-03,,1.10E+00
21,-2.80E-03,0.006455,0.503,1:08:38 AM,119.2842942,0,119.2842942,,9.25E-03,,1.10E+00
22,-2.58E-03,0.005188,0.478,1:08:39 AM,125.5230126,0,125.5230126,,7.76E-03,,9.75E-01
23,-2.42E-03,0.005309,0.574,1:08:39 AM,104.5296167,0,104.5296167,,7.73E-03,,8.08E-01
24,-3.04E-03,0.004502,0.515,1:08:40 AM,116.5048544,0,116.5048544,,7.54E-03,,8.78E-01
25,-3.30E-03,0.005156,0.502,1:08:40 AM,119.5219124,0,119.5219124,,8.45E-03,,1.01E+00
26,-4.23E-03,0.003441,0.567,1:08:41 AM,105.8201058,0,105.8201058,,7.67E-03,,8.12E-01
27,-4.47E-03,0.004328,0.634,1:08:41 AM,94.63722397,0,94.63722397,,8.80E-03,,8.33E-01
28,-3.85E-03,0.005002,0.442,1:08:42 AM,135.7466063,0,135.7466063,,8.85E-03,,1.20E+00
29,-3.03E-03,0.005544,0.417,1:08:42 AM,143.8848921,0,143.8848921,,8.57E-03,,1.23E+00
30,-3.15E-03,0.005206,0.39,1:08:43 AM,153.8461538,0,153.8461538,,8.36E-03,,1.29E+00
31,-2.64E-03,0.005035,0.509,1:08:43 AM,117.8781925,0,117.8781925,,7.68E-03,,9.05E-01
32,-2.96E-03,0.004874,0.606,1:08:44 AM,99.00990099,0,99.00990099,,7.83E-03,,7.76E-01
33,-2.81E-03,0.005597,0.528,1:08:44 AM,113.6363636,0,113.6363636,,8.41E-03,,9.56E-01
34,-3.03E-03,0.005326,0.447,1:08:45 AM,134.2281879,0,134.2281879,,8.35E-03,,1.12E+00
35,-3.81E-03,0.005618,0.501,1:08:45 AM,119.760479,0,119.760479,,9.43E-03,,1.13E+00
36,-3.25E-03,0.006182,0.492,1:08:46 AM,121.9512195,0,121.9512195,,9.43E-03,,1.15E+00
37,-3.40E-03,0.004586,0.549,1:08:46 AM,109.2896175,0,109.2896175,,7.99E-03,,8.73E-01
38,-3.57E-03,0.005847,0.507,1:08:47 AM,118.3431953,0,118.3431953,,9.42E-03,,1.11E+00
39,-5.16E-03,0.004656,0.467,1:08:47 AM,128.4796574,0,128.4796574,,9.82E-03,,1.26E+00
40,-0.004798,0.00393,0.502,1:08:48 AM,119.5219124,0,119.5219124,,8.73E-03,,1.04E+00
41,-4.51E-03,0.003841,0.484,1:08:48 AM,123.9669421,0,123.9669421,,8.35E-03,,1.03E+00
42,-4.17E-03,0.004212,0.471,1:08:49 AM,127.388535,0,127.388535,,8.38E-03,,1.07E+00
43,-0.003338,0.005554,0.51,1:08:49 AM,117.6470588,0,117.6470588,,8.89E-03,,1.05E+00
44,-3.68E-03,0.005318,0.486,1:08:50 AM,123.4567901,0,123.4567901,,9.00E-03,,1.11E+00
45,-1.37E-02,0.007401,0.516,1:08:50 AM,116.2790698,0,116.2790698,,2.11E-02,,2.45E+00
46,-7.63E-04,0.005044,0.456,1:08:51 AM,131.5789474,0,131.5789474,,5.81E-03,,7.64E-01
47,-3.09E-03,0.009256,0.295,1:08:51 AM,203.3898305,0,203.3898305,,1.23E-02,,2.51E+00
48,-6.30E-03,0.007003,0.136,1:08:51 AM,,,,,,,
49,-0.004468,0.006108,0.504,1:08:52 AM,119.047619,0,119.047619,,1.06E-02,,1.26E+00
