,HP CHAL,Baseline (V.s),APeak (V.s),Period (s),TimeDate,BPM,<300 BPM,true bpm,BPM CALC,TIDAL VOL,TIDAL VOL CALC,MINUTE VENT
0,1.0,-0.003527,0.008043000000000002, ,1:08:27 AM,,,,,,,
1,2.0,-0.00185,0.008516,0.559,1:08:27 AM,107.3345259,0.0,107.3345259,,0.0104,,1.11
2,3.0,-0.0029,0.007501000000000001,0.502,1:08:28 AM,119.5219124,0.0,119.5219124,,0.0104,,1.24
3,4.0,-0.00375,0.007402,0.502,1:08:28 AM,119.5219124,0.0,119.5219124,,0.0112,,1.33
4,5.0,-0.0032600000000000003,0.005971,0.635,1:08:29 AM,94.48818898,0.0,94.48818898,,0.00923,,0.872
5,6.0,-0.0036,0.004331000000000001,0.6,1:08:29 AM,100.0,0.0,100.0,,0.00793,,0.7929999999999999
6,7.0,-0.0036200000000000004,0.004647,0.58,1:08:30 AM,103.44827590000001,0.0,103.44827590000001,,0.00827,,0.855
7,8.0,-0.00344,0.0054789999999999995,0.682,1:08:31 AM,87.97653959,0.0,87.97653959,,0.00892,,0.785
8,9.0,-0.00285,0.0060149999999999995,0.535,1:08:31 AM,112.14953270000001,0.0,112.14953270000001,,0.008870000000000001,,0.9940000000000001
9,10.0,-0.0018399999999999998,0.006875,0.544,1:08:32 AM,110.29411759999999,0.0,110.29411759999999,,0.00872,,0.961
10,11.0,-0.00285,0.005884,0.538,1:08:32 AM,111.5241636,0.0,111.5241636,,0.008740000000000001,,0.9740000000000001
11,12.0,-0.0028899999999999998,0.004647,0.591,1:08:33 AM,101.5228426,0.0,101.5228426,,0.007540000000000001,,0.765
12,13.0,-0.00412,0.0006579,0.601,1:08:34 AM,99.83361065,0.0,99.83361065,,0.0047799999999999995,,0.47700000000000004
13,14.0,-0.00324,0.004024,0.791,1:08:34 AM,75.85335019,0.0,75.85335019,,0.007259999999999999,,0.551
14,15.0,-0.00337,0.0060869999999999995,0.451,1:08:35 AM,133.037694,0.0,133.037694,,0.00945,,1.26
15,16.0,-0.00216,0.006053,0.459,1:08:35 AM,130.7189542,0.0,130.7189542,,0.00821,,1.07
16,17.0,-0.0017,0.0055850000000000006,0.759,1:08:36 AM,79.0513834,0.0,79.0513834,,0.0072900000000000005,,0.5760000000000001
17,18.0,-0.000719,0.00554,0.317,1:08:36 AM,189.2744479,0.0,189.2744479,,0.00626,,1.18
18,19.0,-0.00346,0.005398,0.821,1:08:37 AM,73.0816078,0.0,73.0816078,,0.00886,,0.647
19,20.0,-0.0034100000000000003,0.005056000000000001,0.463,1:08:38 AM,129.5896328,0.0,129.5896328,,0.00847,,1.1
20,21.0,-0.0028,0.006455,0.503,1:08:38 AM,119.2842942,0.0,119.2842942,,0.00925,,1.1
21,22.0,-0.0025800000000000003,0.005188,0.478,1:08:39 AM,125.52301259999999,0.0,125.52301259999999,,0.0077599999999999995,,0.975
22,23.0,-0.00242,0.005309,0.574,1:08:39 AM,104.5296167,0.0,104.5296167,,0.00773,,0.8079999999999999
23,24.0,-0.0030399999999999997,0.004502,0.515,1:08:40 AM,116.5048544,0.0,116.5048544,,0.007540000000000001,,0.878
24,25.0,-0.0033,0.005156,0.502,1:08:40 AM,119.5219124,0.0,119.5219124,,0.00845,,1.01
25,26.0,-0.004229999999999999,0.0034409999999999996,0.567,1:08:41 AM,105.8201058,0.0,105.8201058,,0.007670000000000001,,0.812
26,27.0,-0.00447,0.004328,0.634,1:08:41 AM,94.63722397,0.0,94.63722397,,0.0088,,0.833
27,28.0,-0.00385,0.005002,0.442,1:08:42 AM,135.7466063,0.0,135.7466063,,0.00885,,1.2
28,29.0,-0.00303,0.0055439999999999994,0.417,1:08:42 AM,143.88489209999997,0.0,143.88489209999997,,0.00857,,1.23
29,30.0,-0.00315,0.0052060000000000006,0.39,1:08:43 AM,153.84615380000002,0.0,153.84615380000002,,0.00836,,1.29
30,31.0,-0.00264,0.005035,0.509,1:08:43 AM,117.87819250000001,0.0,117.87819250000001,,0.007679999999999999,,0.905
31,32.0,-0.00296,0.004874,0.606,1:08:44 AM,99.00990099,0.0,99.00990099,,0.00783,,0.7759999999999999
32,33.0,-0.00281,0.0055969999999999995,0.528,1:08:44 AM,113.6363636,0.0,113.6363636,,0.008409999999999999,,0.956
33,34.0,-0.00303,0.005326,0.447,1:08:45 AM,134.2281879,0.0,134.2281879,,0.00835,,1.12
34,35.0,-0.00381,0.005618,0.501,1:08:45 AM,119.760479,0.0,119.760479,,0.00943,,1.13
35,36.0,-0.00325,0.006182,0.492,1:08:46 AM,121.95121950000001,0.0,121.95121950000001,,0.00943,,1.15
36,37.0,-0.0034,0.004586,0.549,1:08:46 AM,109.2896175,0.0,109.2896175,,0.00799,,0.873
37,38.0,-0.0035700000000000003,0.005847,0.507,1:08:47 AM,118.3431953,0.0,118.3431953,,0.00942,,1.11
38,39.0,-0.0051600000000000005,0.004656,0.467,1:08:47 AM,128.4796574,0.0,128.4796574,,0.00982,,1.26
39,40.0,-0.004797999999999999,0.0039299999999999995,0.502,1:08:48 AM,119.5219124,0.0,119.5219124,,0.00873,,1.04
40,41.0,-0.00451,0.003841,0.484,1:08:48 AM,123.96694209999998,0.0,123.96694209999998,,0.00835,,1.03
41,42.0,-0.00417,0.004212,0.471,1:08:49 AM,127.388535,0.0,127.388535,,0.00838,,1.07
42,43.0,-0.0033380000000000003,0.005554,0.51,1:08:49 AM,117.6470588,0.0,117.6470588,,0.00889,,1.05
43,44.0,-0.0036799999999999997,0.005318,0.486,1:08:50 AM,123.45679009999998,0.0,123.45679009999998,,0.009,,1.11
44,45.0,-0.0137,0.0074010000000000005,0.516,1:08:50 AM,116.27906979999999,0.0,116.27906979999999,,0.0211,,2.45
45,46.0,-0.000763,0.005044,0.456,1:08:51 AM,131.5789474,0.0,131.5789474,,0.00581,,0.764
46,47.0,-0.00309,0.009256,0.295,1:08:51 AM,203.3898305,0.0,203.3898305,,0.0123,,2.51
47,48.0,-0.0063,0.0070030000000000005,0.136,1:08:51 AM,,,,,,,
48,49.0,-0.004468,0.006108,0.504,1:08:52 AM,119.047619,0.0,119.047619,,0.0106,,1.26
49,50.0,-0.00328,0.004961999999999999,0.5,1:08:52 AM,120.0,0.0,120.0,,0.00825,,0.9890000000000001
50,51.0,-0.003222,0.005637,0.465,1:08:53 AM,129.0322581,0.0,129.0322581,,0.00886,,1.14
51,52.0,-0.00279,0.005201,0.47,1:08:53 AM,127.6595745,0.0,127.6595745,,0.00799,,1.02
52,53.0,-0.00297,0.005084,0.483,1:08:53 AM,124.22360249999998,0.0,124.22360249999998,,0.00805,,1.0
53,54.0,-0.0026899999999999997,0.005488,0.465,1:08:54 AM,129.0322581,0.0,129.0322581,,0.00818,,1.06
54,55.0,-0.00545,0.005929,0.384,1:08:54 AM,156.25,0.0,156.25,,0.0114,,1.78
55,56.0,-0.00314,0.005212,0.508,1:08:55 AM,118.1102362,0.0,118.1102362,,0.00835,,0.986
56,57.0,-0.00365,0.0056630000000000005,0.522,1:08:55 AM,114.9425287,0.0,114.9425287,,0.009309999999999999,,1.07
57,58.0,-0.0033200000000000005,0.005261,0.517,1:08:56 AM,116.0541586,0.0,116.0541586,,0.008579999999999999,,0.996
58,59.0,-0.0037,0.004748,0.5,1:08:56 AM,120.0,0.0,120.0,,0.00845,,1.01
59,60.0,-0.00417,0.004055,0.494,1:08:57 AM,121.4574899,0.0,121.4574899,,0.00822,,0.9990000000000001
60,61.0,-0.0039,0.005111999999999999,0.505,1:08:57 AM,118.81188119999999,0.0,118.81188119999999,,0.00902,,1.07
61,,,,,,,avg,119.28726900796615,avg,0.008812881355932204,avg,1.056949152542373
62,,,,,,,sd,21.48113986822976,sd,0.002011768806718679,sd,0.33822088979820863
63,,,,,,,cov,0.18007906499054166,cov,0.22827594352719835,cov,0.3199973139527631
64,62.0,-0.0043100000000000005,0.004640999999999999,0.521,1:08:58 AM,115.16314779999999,0.0,115.16314779999999,,0.00895,,1.03
65,63.0,-0.0032600000000000003,0.005438,0.529,1:08:58 AM,113.42155009999999,0.0,113.42155009999999,,0.00869,,0.986
66,64.0,-0.00286,0.0063289999999999996,0.503,1:08:59 AM,119.2842942,0.0,119.2842942,,0.00919,,1.1
67,65.0,-0.0031899999999999997,0.006806,0.468,1:08:59 AM,128.20512820000002,0.0,128.20512820000002,,0.01,,1.28
68,66.0,-0.0039700000000000004,0.0029649999999999998,0.425,1:09:00 AM,141.1764706,0.0,141.1764706,,0.006940000000000001,,0.9790000000000001
69,67.0,-0.003865,0.00521,0.492,1:09:00 AM,121.95121950000001,0.0,121.95121950000001,,0.00908,,1.11
70,68.0,-0.00433,0.0048189999999999995,0.514,1:09:01 AM,116.73151750000001,0.0,116.73151750000001,,0.00915,,1.07
71,69.0,-0.00451,0.005166,0.454,1:09:01 AM,132.1585903,0.0,132.1585903,,0.00968,,1.28
72,70.0,-0.00255,0.006615,0.404,1:09:02 AM,148.5148515,0.0,148.5148515,,0.00916,,1.36
73,71.0,-0.00263,0.0051979999999999995,0.719,1:09:02 AM,83.44923505,0.0,83.44923505,,0.00782,,0.653
74,72.0,-0.00373,0.0059700000000000005,0.508,1:09:03 AM,118.1102362,0.0,118.1102362,,0.0097,,1.15
75,73.0,-0.0035700000000000003,0.005334,0.475,1:09:03 AM,126.31578950000001,0.0,126.31578950000001,,0.0089,,1.12
